time,HeatingDemand_2bbd,HeatingDemand_Artiestbuurt_2,HeatingDemand_Artiestenbuurt_1,HeatingDemand_DeStrijp_1,HeatingDemand_DeStrijp_2,HeatingDemand_DeStrijp_3,HeatingDemand_Hoekpolder,HeatingDemand_HuisTeLande,HeatingDemand_Kleurenbuurt,HeatingDemand_Ministerbuurt_1,HeatingDemand_Ministerbuurt_2,HeatingDemand_Muziekbuurt_1,HeatingDemand_Muziekbuurt_2,HeatingDemand_Muziekbuurt_3,HeatingDemand_Presidentenbuurt,HeatingDemand_Rembrandtkwartier_1,HeatingDemand_Rembrandtkwartier_2,HeatingDemand_Stationskwartier,HeatingDemand_Stervoorde_1,HeatingDemand_Stervoorde_2,HeatingDemand_Stervoorde_3,HeatingDemand_Stervoorde_4,HeatingDemand_Stervoorde_5,HeatingDemand_TeWerve_1,HeatingDemand_TeWerve_2,HeatingDemand_TeWerve_3,HeatingDemand_TeWerve_4,HeatingDemand_WelGelegen,HeatingDemand_fea2
0.0,122727.26400000001,156420.903,456749.03676,27084.97495,27084.97495,27084.97495,137061.0185,272944.45376,749090.2848,18990.10134,28937.29728,212012.223,212012.223,212012.223,64234.7265,122727.26400000001,122727.26400000001,226169.61991,6227.01675,9255.9607,16144.1175,4581.8543,5827.2576500000005,170223.789,170223.789,170223.789,170223.789,368999.97376,368999.97376
3600.0,124880.637,143905.122,420202.95624,9313.19378,9313.19378,9313.19378,7416.493,258965.89984,770030.7488,11608.262610000002,17688.781120000003,218545.704,218545.704,218545.704,71438.626,124880.637,124880.637,147536.99532,17544.308399999998,26078.20656,45485.244,12909.14544,16418.00712,176782.61700000003,176782.61700000003,176782.61700000003,176782.61700000003,375474.44857999997,375474.44857999997
7200.0,123030.42,137805.41100000002,402391.80012,3729.3939100000002,3729.3939100000002,3729.3939100000002,2073.8655,244447.17511999997,744455.66592,13736.96919,20932.52448,209651.82300000003,209651.82300000003,209651.82300000003,159323.85,123030.42,123030.42,142664.84530999998,73645.47135,109468.08334000001,190932.70350000003,54188.519660000005,68917.61393,169643.484,169643.484,169643.484,169643.484,369911.4628,369911.4628
10800.0,128790.96300000002,141681.177,413709.03684,4426.88609,4426.88609,4426.88609,1844.1499999999999,252353.19776,764783.35744,22108.95792,33689.84064,214145.22000000003,214145.22000000003,214145.22000000003,163804.5535,128790.96300000002,128790.96300000002,148075.89328999998,109218.34259999999,162344.30183999997,283158.66599999997,80363.12616,102206.79467999999,175189.35,175189.35,175189.35,175189.35,387231.49542,387231.49542
14400.0,138459.888,149615.787,436878.09804,6916.134720000001,6916.134720000001,6916.134720000001,3342.2725,271177.08872,804263.9072000001,55128.13719000001,84004.78048000002,223974.70500000002,223974.70500000002,223974.70500000002,173022.85000000003,138459.888,138459.888,157623.18052,128237.5071,190614.76364,332467.61100000003,94357.47436000001,120004.97578000001,185846.63999999998,185846.63999999998,185846.63999999998,185846.63999999998,416302.72992,416302.72992
18000.0,142061.079,150148.974,438435.0040799999,16291.74602,16291.74602,16291.74602,11271.011499999999,279237.41584,804529.8688,101165.60097000001,154157.10624000002,224715.645,224715.645,224715.645,174257.769,142061.079,142061.079,160059.59463,133119.94814999998,197872.12045999998,345125.7915,97949.98654,124573.97617,188445.723,188445.723,188445.723,188445.723,427130.31085999997,427130.31085999997
21600.0,297167.868,193390.461,564700.14612,281594.00818999996,281594.00818999996,281594.00818999996,105160.0585,771925.7337600001,899898.3020800002,292147.70844,445177.46048,257317.79400000005,257317.79400000005,257317.79400000005,290182.2,297167.868,297167.868,362549.1324,179897.5494,267403.27096,466401.054,132369.06104,168348.57092,302760.72,302760.72,302760.72,302760.72,893484.72312,893484.72312
25200.0,1059383.889,584351.7390000001,1706307.07788,2308904.4473,2308904.4473,2308904.4473,1785203.14,3118694.2966400003,4030326.20672,2607220.1089200005,3972906.8326400006,1227758.6339999998,1227758.6339999998,1227758.6339999998,2222537.4815,1059383.889,1059383.889,2996510.55327,1820419.6365,2705907.7065999997,4719606.465,1339469.2634,1703553.1907000002,1350643.098,1350643.098,1350643.098,1350643.098,3185214.22626,3185214.22626
28800.0,1018804.977,1101269.625,3215707.3049999997,3178505.7388700005,3178505.7388700005,3178505.7388700005,2337415.4895,4049922.21304,3444546.9196800003,3141927.43725,4787698.952,1289040.78,1289040.78,1289040.78,2367038.0405,1018804.977,1018804.977,2139320.8476899997,2084240.7917999998,3098056.6831199997,5403587.238,1533589.52088,1950437.67924,1635809.205,1635809.205,1635809.205,1635809.205,3063206.9641799997,3063206.9641799997
32400.0,1879519.293,2121205.272,6193919.39424,3105915.0910700005,3105915.0910700005,3105915.0910700005,3138075.9340000004,4259503.73552,7052591.25504,3464909.1460200003,5279861.5558400005,1950863.9249999998,1950863.9249999998,1950863.9249999998,1491018.6795,1879519.293,1879519.293,3216157.37547,2230876.9790999996,3316019.608439999,5783755.130999999,1641484.7895599997,2087660.1853799997,2483662.194,2483662.194,2483662.194,2483662.194,5651088.007619999,5651088.007619999
36000.0,1443630.5459999999,1369029.873,3997567.2291599996,1845295.7941,1845295.7941,1845295.7941,2131221.764,2059339.82872,9168665.69472,1523997.27438,2322281.56096,1594811.9220000003,1594811.9220000003,1594811.9220000003,1133996.136,1443630.5459999999,1443630.5459999999,2852293.91057,2460361.26645,3657129.58618,6378714.3945,1810339.89482,2302412.1481100004,981645.372,981645.372,981645.372,981645.372,4340515.841639999,4340515.841639999
39600.0,601486.1460000001,974397.915,2845241.9118,1017727.64324,1017727.64324,1017727.64324,961153.7145,1279084.8183199998,6286794.22976,1065971.4414300001,1624337.4345600002,688357.119,688357.119,688357.119,359088.4955,601486.1460000001,601486.1460000001,1544871.6345399998,1658479.1714999997,2465196.2005999996,4299760.8149999995,1220313.0694,1552008.9037,504494.75099999993,504494.75099999993,504494.75099999993,504494.75099999993,1808468.34564,1808468.34564
43200.0,606958.8929999999,1500388.959,4381135.76028,1093351.1329400002,1093351.1329400002,1093351.1329400002,900605.6605000001,1448486.36408,4229334.223360001,1164991.4115,1775225.008,679464.933,679464.933,679464.933,850511.7984999999,606958.8929999999,606958.8929999999,1606979.1914799996,764615.0114999999,1136538.8565999998,1982335.2149999999,562605.6133999999,715528.6157,636144.483,636144.483,636144.483,636144.483,1824923.0716199998,1824923.0716199998
46800.0,469563.75899999996,1081338.864,3157509.48288,609814.43292,609814.43292,609814.43292,812257.614,936295.4946399999,1840399.2953600003,788995.2701399999,1202278.50688,442405.431,442405.431,442405.431,709719.2969999999,469563.75899999996,469563.75899999996,1399331.7416,518557.16025,770793.6061,1344407.4525000001,381555.6389,485267.07095,442988.20499999996,442988.20499999996,442988.20499999996,442988.20499999996,1411821.7020599998,1411821.7020599998
50400.0,383726.88,743226.1259999999,2170220.28792,391622.79112000007,391622.79112000007,391622.79112000007,616893.949,874237.42376,1818130.75328,707764.89525,1078498.888,420587.6549999999,420587.6549999999,420587.6549999999,540989.9844999999,383726.88,383726.88,1358365.3660199998,495129.74895,735970.6391799999,1283669.7195000001,364317.69182,463343.64161000005,418391.754,418391.754,418391.754,418391.754,1153738.8191999998,1153738.8191999998
54000.0,706668.858,1456348.3229999999,4252537.1031599995,1570656.6507500003,1570656.6507500003,1570656.6507500003,1345042.9615,1958004.6275999998,2680599.7120000003,1340821.61577,2043156.7478400003,731145.6390000001,731145.6390000001,731145.6390000001,1199702.1224999998,706668.858,706668.858,1715706.2737099999,1134078.4768500002,1685716.6495400001,2940203.4585,834457.7434600001,1061273.43883,1117731.375,1117731.375,1117731.375,1117731.375,2124717.69972,2124717.69972
57600.0,674398.446,1786537.2030000002,5216688.63276,1763782.70508,1763782.70508,1763782.70508,1131861.864,2473244.98152,2990962.61376,1329161.78325,2025389.3840000003,882896.166,882896.166,882896.166,1304637.796,674398.446,674398.446,1653831.9488600001,1115143.14735,1657570.80174,2891111.8635000004,820525.08126,1043553.71073,1314588.8699999999,1314588.8699999999,1314588.8699999999,1314588.8699999999,2027691.3276399998,2027691.3276399998
61200.0,609493.323,1691544.051,4939308.62892,1524571.1941900002,1524571.1941900002,1524571.1941900002,974583.0325000002,2312949.51416,2992395.6838399996,1088135.20536,1658110.78912,746835.039,746835.039,746835.039,1103707.2129999998,609493.323,609493.323,1321546.6101499998,971851.9481999999,1444579.9328799997,2519616.162,715091.06312,909461.45276,948659.0279999999,948659.0279999999,948659.0279999999,948659.0279999999,1832543.25782,1832543.25782
64800.0,1967228.7719999999,1629420.558,4757908.02936,3891764.0366,3891764.0366,3891764.0366,2786225.1865,3292331.3432799997,6355242.931840001,3316401.6431699996,5053564.40864,2152564.176,2152564.176,2152564.176,2776502.9494999996,1967228.7719999999,1967228.7719999999,3926976.1596,2661204.0186,3955666.2202399997,6899417.826,1958120.48776,2490361.29148,2309938.872,2309938.872,2309938.872,2309938.872,5914801.17448,5914801.17448
68400.0,1430764.557,948713.085,2770242.2082,2375335.94375,2375335.94375,2375335.94375,1587136.236,2283179.24984,4409915.338880001,1871814.8962800002,2852289.3657600004,1473635.148,1473635.148,1473635.148,2056680.542,1430764.557,1430764.557,1679127.0221699998,1851969.7359,2752804.39756,4801403.019,1362683.90444,1733077.85162,1722051.3390000002,1722051.3390000002,1722051.3390000002,1722051.3390000002,4301832.10138,4301832.10138
72000.0,928406.1780000001,767137.86,2240042.5512,1828464.38643,1828464.38643,1828464.38643,1319712.9015,1882264.84416,3564695.1731200004,1336999.6415999997,2037332.7872,978351.378,978351.378,978351.378,1439134.781,928406.1780000001,928406.1780000001,1084378.59335,1245038.6718,1850650.07512,3227878.038,916102.52888,1165110.26324,1118758.332,1118758.332,1118758.332,1118758.332,2791407.90852,2791407.90852
75600.0,800822.868,768950.637,2245335.8600399997,1534740.43514,1534740.43514,1534740.43514,1134732.5395,1811668.0392,3470697.07584,1306585.50834,1990987.4412800001,893709.7740000001,893709.7740000001,893709.7740000001,1230405.3754999998,800822.868,800822.868,1086946.8014599998,1182888.0441,1758268.15444,3066746.7810000004,870371.94356,1106949.5523800002,1023494.8289999999,1023494.8289999999,1023494.8289999999,1023494.8289999999,2407807.42312,2407807.42312
79200.0,543314.6849999999,578155.0109999999,1688212.63212,830696.96336,830696.96336,830696.96336,622749.8655,890323.6512,1885872.0486400002,685282.5107100001,1044240.01632,477416.55299999996,477416.55299999996,477416.55299999996,637224.1714999999,543314.6849999999,543314.6849999999,768067.7263999999,523025.4523499999,777435.3637399998,1355991.9134999998,384843.41925999994,489448.50972999993,637888.689,637888.689,637888.689,637888.689,1633566.1528999999,1633566.1528999999
82800.0,57206.736000000004,48499.568999999996,141618.74148,36596.67484,36596.67484,36596.67484,32202.8945,88931.60759999999,469529.31584,79563.68678999999,121239.90367999999,107691.18000000002,107691.18000000002,107691.18000000002,57425.893000000004,57206.736000000004,57206.736000000004,89545.60549999999,37770.64425,56143.03169999999,97923.89249999999,27791.733299999996,35345.86214999999,72200.775,72200.775,72200.775,72200.775,172001.58624,172001.58624
86400.0,52640.810999999994,49958.847,145879.83324,22954.315670000004,22954.315670000004,22954.315670000004,11271.011499999999,75635.90152,465857.32672,68773.04658000001,104797.02336,104661.20700000001,104661.20700000001,104661.20700000001,50212.981,52640.810999999994,52640.810999999994,95025.49900999998,30563.7948,45430.628319999996,79239.468,22488.91568,28601.67464,69553.506,69553.506,69553.506,69553.506,158273.37173999997,158273.37173999997
90000.0,52988.568,59142.36000000001,172695.69120000003,28083.044770000004,28083.044770000004,28083.044770000004,6440.577499999999,93282.96824,475457.28384000005,68370.96357,104184.32544000002,106295.67899999999,106295.67899999999,106295.67899999999,49554.988,52988.568,52988.568,121936.03006,30011.536799999998,44609.74111999999,77807.688,22082.562879999998,28084.870239999997,70797.87,70797.87,70797.87,70797.87,159318.96112,159318.96112
93600.0,52319.484000000004,61190.46,178676.1432,24891.244950000004,24891.244950000004,24891.244950000004,1610.1435,99103.95319999999,473920.27712,66188.72127,100859.00384,105455.997,105455.997,105455.997,47808.537000000004,52319.484000000004,52319.484000000004,133880.44332,29081.1708,43226.82672,75395.628,21397.99728,27214.23144,72167.37899999999,72167.37899999999,72167.37899999999,72167.37899999999,157307.24856,157307.24856
